"experiment_id","scenario","run_seed","depth_zone","larvae","total_larvae","proportion"
"E2","V2A",6105,"<40 cm",0,0,NA
"E2","V2A",6105,"40-80 cm",0,0,NA
"E2","V2A",6105,"80-120 cm",0,0,NA
"E2","V2A",6105,"120-160 cm",0,0,NA
"E2","V2A",6105,"160-200 cm",0,0,NA
"E2","V2A",6105,">200 cm",0,0,NA
"E2","V2A",6106,"<40 cm",0,0,NA
"E2","V2A",6106,"40-80 cm",0,0,NA
"E2","V2A",6106,"80-120 cm",0,0,NA
"E2","V2A",6106,"120-160 cm",0,0,NA
"E2","V2A",6106,"160-200 cm",0,0,NA
"E2","V2A",6106,">200 cm",0,0,NA
"E2","V2A",6107,"<40 cm",0,0,NA
"E2","V2A",6107,"40-80 cm",0,0,NA
"E2","V2A",6107,"80-120 cm",0,0,NA
"E2","V2A",6107,"120-160 cm",0,0,NA
"E2","V2A",6107,"160-200 cm",0,0,NA
"E2","V2A",6107,">200 cm",0,0,NA
"E2","V2A",6108,"<40 cm",0,0,NA
"E2","V2A",6108,"40-80 cm",0,0,NA
"E2","V2A",6108,"80-120 cm",0,0,NA
"E2","V2A",6108,"120-160 cm",0,0,NA
"E2","V2A",6108,"160-200 cm",0,0,NA
"E2","V2A",6108,">200 cm",0,0,NA
"E2","V2A",6109,"<40 cm",0,0,NA
"E2","V2A",6109,"40-80 cm",0,0,NA
"E2","V2A",6109,"80-120 cm",0,0,NA
"E2","V2A",6109,"120-160 cm",0,0,NA
"E2","V2A",6109,"160-200 cm",0,0,NA
"E2","V2A",6109,">200 cm",0,0,NA
"E2","V2A",6110,"<40 cm",0,0,NA
"E2","V2A",6110,"40-80 cm",0,0,NA
"E2","V2A",6110,"80-120 cm",0,0,NA
"E2","V2A",6110,"120-160 cm",0,0,NA
"E2","V2A",6110,"160-200 cm",0,0,NA
"E2","V2A",6110,">200 cm",0,0,NA
"E2","V2A",7101,"<40 cm",97,125,0.776
"E2","V2A",7101,"40-80 cm",2,125,0.016
"E2","V2A",7101,"80-120 cm",1,125,0.008
"E2","V2A",7101,"120-160 cm",4,125,0.032
"E2","V2A",7101,"160-200 cm",3,125,0.024
"E2","V2A",7101,">200 cm",18,125,0.144
"E2","V2A",7102,"<40 cm",93,125,0.744
"E2","V2A",7102,"40-80 cm",0,125,0
"E2","V2A",7102,"80-120 cm",1,125,0.008
"E2","V2A",7102,"120-160 cm",4,125,0.032
"E2","V2A",7102,"160-200 cm",2,125,0.016
"E2","V2A",7102,">200 cm",25,125,0.2
"E2","V2A",7103,"<40 cm",92,125,0.736
"E2","V2A",7103,"40-80 cm",3,125,0.024
"E2","V2A",7103,"80-120 cm",2,125,0.016
"E2","V2A",7103,"120-160 cm",6,125,0.048
"E2","V2A",7103,"160-200 cm",4,125,0.032
"E2","V2A",7103,">200 cm",18,125,0.144
"E2","V2A",7104,"<40 cm",0,0,NA
"E2","V2A",7104,"40-80 cm",0,0,NA
"E2","V2A",7104,"80-120 cm",0,0,NA
"E2","V2A",7104,"120-160 cm",0,0,NA
"E2","V2A",7104,"160-200 cm",0,0,NA
"E2","V2A",7104,">200 cm",0,0,NA
"E2","V2A",7105,"<40 cm",0,0,NA
"E2","V2A",7105,"40-80 cm",0,0,NA
"E2","V2A",7105,"80-120 cm",0,0,NA
"E2","V2A",7105,"120-160 cm",0,0,NA
"E2","V2A",7105,"160-200 cm",0,0,NA
"E2","V2A",7105,">200 cm",0,0,NA
